"","All-Cause Readmissions (%)","","","","HF Readmissions (%)","","","","All-Cause Death (%)","","","","CV Death (%)","","",""
"HF Discharge Year","30-Day","90-Day","180-Day","1-Year","30-Day","90-Day","180-Day","1-Year","30-Day","90-Day","180-Day","1-Year","30-Day","90-Day","180-Day","1-Year"
"2000","15.89","29.03","38.48","50.08","5.62","10.27","13.89","18.88","3.8","7.99","12.23","18.94","1.11","3.07","5.13","8.58"
"2001","15.75","28.3","38.27","49.67","5.75","9.83","13.21","18.33","3.89","7.8","12.09","18.34","1.29","2.98","5.24","8.36"
"2002","16.39","30.06","39.94","51.15","5.46","10.19","14.07","19.32","3.6","7.91","12.34","18.77","0.92","2.68","5.03","8.39"
"2003","16.52","30.03","39.51","50.41","5.84","10.28","13.75","18.45","4.36","9.48","13.89","20.22","1.57","3.75","5.82","9.02"
"2004","16.2","30.05","40.1","51.5","5.83","10.85","15.29","20.15","3.54","8.03","12.06","18.42","1.07","2.83","4.86","8.19"
"2005","17.03","30.59","40.79","51.68","6.24","10.92","15.03","19.91","4.18","8.98","13.17","19.51","1.32","3.4","5.19","8.35"
"2006","16.88","30.36","40.05","50.9","6.62","11.63","15.56","19.84","4.49","9.38","12.81","18.61","1.32","3.41","5.08","7.97"
"2007","18.26","32.57","42.19","54.59","6.48","11.59","15.52","20.24","3.97","8.91","13.1","18.83","1.07","3.07","5","7.55"
"2008","21.18","36.19","46.25","57.59","7.09","11.91","15.88","20.63","4.46","8.77","12.66","18.59","1.68","3.65","5.74","8.96"
"2009","21.31","35.93","46.09","57.71","7.02","11.68","15.36","20.36","4.52","9.68","14.1","20.22","1.43","3.94","6.41","9.61"
"2010","19.56","33.5","43.75","53.04","6.21","10.96","14.29","18.3","3.84","8.32","12","17.08","0.96","3.27","5.08","7.68"
"2011","21.84","36.58","47.22","58.54","7.4","12.34","16.24","20.89","4.89","9.28","13.75","19.63","1.46","3.29","5.5","8.73"
"2012","20.11","35.89","46.31","57.69","6.83","11.59","15.26","20.06","4","8.67","12.89","19.03","1.13","3.22","5.34","8.39"
"2013","20.13","35.04","46.78","57.85","6.44","11.25","15.62","19.93","4.24","8.56","12.37","17.41","1.29","3.19","5.21","7.75"
"2014","20.29","35.33","46.28","57.02","6.5","11.44","15.07","19.58","3.94","8.05","11.95","17.32","1.02","2.83","4.55","6.93"
"Sum","18.29","32.35","42.48","53.64","6.3","11.04","14.85","19.59","4.1","8.62","12.74","18.75","1.24","3.23","5.28","8.32"
