"HF Discharge Year","30-Day","90-Day","180-Day","1-Year"
"2000",15.89,29.03,38.48,50.08
"2001",15.75,28.3,38.27,49.67
"2002",16.39,30.06,39.94,51.15
"2003",16.52,30.03,39.51,50.41
"2004",16.2,30.05,40.1,51.5
"2005",17.03,30.59,40.79,51.68
"2006",16.88,30.36,40.05,50.9
"2007",18.26,32.57,42.19,54.59
"2008",21.18,36.19,46.25,57.59
"2009",21.31,35.93,46.09,57.71
"2010",19.56,33.5,43.75,53.04
"2011",21.84,36.58,47.22,58.54
"2012",20.11,35.89,46.31,57.69
"2013",20.13,35.04,46.78,57.85
"2014",20.29,35.33,46.28,57.02
"Sum",18.29,32.35,42.48,53.64
