"HF Discharge Year","30-Day","90-Day","180-Day","1-Year"
"2000",5.62,10.27,13.89,18.88
"2001",5.75,9.83,13.21,18.33
"2002",5.46,10.19,14.07,19.32
"2003",5.84,10.28,13.75,18.45
"2004",5.83,10.85,15.29,20.15
"2005",6.24,10.92,15.03,19.91
"2006",6.62,11.63,15.56,19.84
"2007",6.48,11.59,15.52,20.24
"2008",7.09,11.91,15.88,20.63
"2009",7.02,11.68,15.36,20.36
"2010",6.21,10.96,14.29,18.3
"2011",7.4,12.34,16.24,20.89
"2012",6.83,11.59,15.26,20.06
"2013",6.44,11.25,15.62,19.93
"2014",6.5,11.44,15.07,19.58
"Sum",6.3,11.04,14.85,19.59
