"HF Discharge Year","30-Day","90-Day","180-Day","1-Year"
"2000",3.8,7.99,12.23,18.94
"2001",3.89,7.8,12.09,18.34
"2002",3.6,7.91,12.34,18.77
"2003",4.36,9.48,13.89,20.22
"2004",3.54,8.03,12.06,18.42
"2005",4.18,8.98,13.17,19.51
"2006",4.49,9.38,12.81,18.61
"2007",3.97,8.91,13.1,18.83
"2008",4.46,8.77,12.66,18.59
"2009",4.52,9.68,14.1,20.22
"2010",3.84,8.32,12,17.08
"2011",4.89,9.28,13.75,19.63
"2012",4,8.67,12.89,19.03
"2013",4.24,8.56,12.37,17.41
"2014",3.94,8.05,11.95,17.32
"Sum",4.1,8.62,12.74,18.75
